Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
53,11081730,sawhiqbr,"2023-10-21 14:06:47",0.81108,7,sawhiqabar
54,10896553,JoshuaJHan,"2023-09-13 04:09:54",0.81084,6,joshuajhan
55,10804167,JongseoPark_loki,"2023-09-24 08:34:05",0.81084,1,jongseoparkloki
56,10795978,"Ayush kumar #1","2023-09-24 15:37:36",0.81084,13,singhayush16
57,11048882,"Dominik Petho","2023-10-13 07:38:02",0.81084,14,dominikpetho
58,11003443,"Trọng Bằng Đỗ","2023-10-18 03:42:52",0.81084,32,kwisatzhaderach55
59,10919563,"Retsu Yasuhara","2023-09-22 01:34:01",0.81061,24,retsuyasuhara
60,10891544,Lufthan,"2023-09-09 19:22:25",0.81038,2,lufthan
61,10902716,"William Traynor","2023-09-20 12:55:43",0.81038,49,williamtraynor
62,10938579,"Eyrsa Bede","2023-09-19 13:39:25",0.81038,1,eyrsabede
63,10938837,"Mehdi Jamaseb","2023-09-19 14:42:47",0.81038,3,mehdijamaseb
64,10235988,"Egor Kainov","2023-09-20 07:38:58",0.81038,1,egorkainov
65,10942336,"Jon Wright","2023-09-21 12:20:52",0.81038,1,jonwright13
66,10957940,"dee dee","2023-09-25 11:11:56",0.81038,19,ddosad
67,9930911,behco,"2023-10-17 01:54:38",0.81038,4,"behfer,carlosmatos97"
68,11065976,tutenstein,"2023-10-21 17:39:16",0.81038,26,tutenstein
69,11054754,"Araz Soleymanpour","2023-10-15 11:43:07",0.81014,9,arazsoleymanpour
70,11085781,Melbourne,"2023-10-24 14:23:27",0.81014,2,"celineomlin,heikoholz,sevgym"
71,11065774,"Meryem Eren","2023-10-21 19:48:35",0.80991,4,erenmery
72,8488324,eRRoR,"2023-09-07 12:47:07",0.80967,1,nurlan010
73,10633548,Solo516,"2023-09-23 15:12:19",0.80967,1,solo516
74,11123100,"Chang-Ching Lin","2023-10-27 07:12:56",0.80967,7,changchinglin
75,10917268,"Paweł Brzóska","2023-09-18 18:41:12",0.80944,26,pawebrzska
76,10907909,"Jorge López","2023-09-25 12:34:51",0.80944,16,jorgelp88
77,11048282,"Fidan Vural","2023-10-12 02:21:24",0.80944,6,fidanvural
78,11040329,Burak,"2023-10-21 20:45:26",0.80944,7,hedonicas
79,11133690,BUAAZFK,"2023-10-29 10:15:18",0.80944,2,buaazfk
80,10837975,CyberBros,"2023-09-25 14:28:30",0.80921,42,"muhammednihataydn,muhammethamzayavuz"
81,10907738,Madzor,"2023-09-23 21:40:19",0.80921,22,madzor
82,10939213,"Sourav Kumar #3","2023-09-19 15:44:08",0.80921,1,souravkumar1666
83,10939300,"Raja Keshri","2023-09-19 16:02:40",0.80921,1,keshri101
84,10945603,"Ch Ar2023","2023-09-21 02:16:02",0.80921,10,char2023
85,10947401,"Akash Mittal","2023-09-21 08:35:33",0.80921,1,akashmittal30
86,11032743,"Sohaib Moradi","2023-10-12 16:45:16",0.80921,3,sohaibmoradi
87,10992122,"Jeremi Cichawa","2023-10-14 11:46:19",0.80921,4,jeremicichawa
88,8979719,RickRession,"2023-10-17 06:16:29",0.80921,5,burakbakibakr
89,11036538,"Augustine Hu","2023-10-19 03:56:27",0.80921,6,augustinehu
90,11057930,Safa54,"2023-10-21 18:28:23",0.80921,5,safa54
91,11087119,"Semyon Komarov","2023-10-25 12:27:38",0.80921,9,qroshi
92,10891385,907a4267085,"2023-09-09 18:45:28",0.80897,2,a4267085
93,11016280,"Дарья Шестакова","2023-10-13 10:56:10",0.80897,5,mantihor
94,10850900,"Bence Szabo","2023-09-05 13:40:04",0.80874,2,benszabo
95,10708020,"Martin North","2023-09-21 20:55:50",0.80874,38,martinnorth
96,10196286,NotFound143,"2023-09-15 19:45:10",0.80874,51,notfound143
97,10892228,crabtsai,"2023-09-14 14:06:41",0.80874,1,crabtsai
98,10914016,kimchangwoo,"2023-09-15 06:22:14",0.80874,1,kimchangwoo
99,10906842,learn_for_growing,"2023-09-16 09:49:47",0.80874,1,learnforgrowing
100,10930104,overwhelmer,"2023-09-27 18:50:11",0.80874,3,overwhelmer
101,10963247,smansabdar,"2023-09-25 07:59:46",0.80874,3,smansabdar
102,10604632,romansidorovg,"2023-09-28 15:15:46",0.80874,9,romansidorovg
103,9892599,Biff95,"2023-09-30 07:23:13",0.80874,2,biff95
104,10977034,zmk001,"2023-10-01 14:01:22",0.80874,2,zmk001
105,10832822,kuangaliong,"2023-10-21 18:19:33",0.80874,22,kuangaliong
106,11054194,Serkankzlrmak,"2023-10-21 06:43:08",0.80874,12,serkankzlrmak
107,11070647,"Jon Wolgamott","2023-10-17 23:51:21",0.80874,9,jonwolgamott
108,11044742,"Asude Merve Ekiz","2023-10-19 12:02:14",0.80874,5,asudetubitak
109,11090367,Mantii38,"2023-10-20 18:13:17",0.80874,5,mantii38
110,11059617,"xena garage","2023-10-21 18:05:20",0.80874,5,xenagarage
111,11101670,"Adela Fei","2023-10-25 16:16:05",0.80874,10,adelafei
112,11115699,"Himanshu #4","2023-10-24 09:54:10",0.80874,13,rcratos
113,9857206,databilly,"2023-10-29 06:34:58",0.80851,5,yevgeniykim
114,10841076,"[Deleted] 6489e847-3241-4c3d-b656-b960f7e8a22a","2023-09-04 02:54:46",0.80827,30,del=7ebd5adefa422d6d
115,10183504,"ayman elamin","2023-09-08 19:14:53",0.80827,25,aymanelamin
116,10803722,IvanBorrow228,"2023-09-15 19:58:06",0.80827,23,ivanborrow228
117,10944640,"Tom Shelmerdine","2023-10-03 18:42:37",0.80827,1,tommyshelly
118,10065280,"Furkan Küpçü","2023-10-18 04:04:23",0.80827,4,furkankp
119,10877918,"Abhijit Raut","2023-09-24 07:11:43",0.80804,11,abhijitcr
120,10898241,"Rongjia Xu","2023-09-18 14:03:00",0.80804,1,rongjiaxu
121,10933983,"Nadav Idelsohn","2023-09-23 20:03:17",0.80804,7,halaluka
122,10953060,"Matej Gerek","2023-10-07 15:32:59",0.80804,27,matejgerek
123,10311045,"StickTogether (tm)","2023-10-25 10:42:57",0.80804,2,sticktogethertm
124,10585495,"Ojas Nimase","2023-09-03 20:00:22",0.80780,1,ojasnimase
125,10869383,"Nguyễn Hữu Hoàng Long","2023-09-06 02:58:42",0.80780,12,nguynhuhonglong
126,10786239,"Nguyen Huu Hoang Long","2023-09-06 03:32:26",0.80780,24,hoanglongroai
127,10832627,"BEKKAR Merwan","2023-09-06 22:03:42",0.80780,6,bekkarmerwan
128,10930746,"Mohamed Yosef","2023-09-17 19:05:48",0.80780,1,mohamedyosef101
129,10972083,Flamingoman418,"2023-10-04 15:35:17",0.80780,30,flamingoman418
130,10909256,"Sergey Voronkov","2023-10-24 03:53:35",0.80780,90,sergeyvoronkov
131,10926492,AndréNPrestes,"2023-09-18 01:19:43",0.80757,5,andrnprestes
132,10919296,"Fujioka Yuta","2023-09-22 01:38:40",0.80757,18,fujiokayuta
133,10081341,"taito takabatake","2023-09-30 00:25:25",0.80757,43,taitotakabatake
134,8481093,"Vadim Scherbakov","2023-10-12 13:45:12",0.80757,4,vadimscherbakov
135,11072044,"Brandon Young","2023-10-30 00:50:20",0.80757,58,pluspin
136,10886516,"Kiara Esguerra","2023-09-24 03:24:54",0.80734,22,kiaraesguerra
137,10883248,"Renaud Gendron","2023-09-08 19:47:05",0.80734,5,renaudgendron
138,10867378,rusiano,"2023-09-10 18:24:40",0.80734,20,rusiano
139,10896087,"MIDHUN N A","2023-09-11 06:53:51",0.80734,2,midhunna
140,10897154,"Usama Nazir786","2023-09-11 11:00:17",0.80734,1,usamanazir786
141,10984381,"Ali Emre Narin","2023-10-01 14:46:57",0.80734,1,aliemrenarin
142,9677425,"José Manuel Nieto del Valle","2023-10-02 09:52:31",0.80734,5,taintedfidelity
143,11021071,"Swann C.","2023-10-06 09:36:57",0.80734,2,swannc
144,11094006,"Tanmoy shome","2023-10-18 23:17:11",0.80734,1,tanmoyshome
145,11040371,"now you see me!","2023-10-21 17:25:15",0.80734,4,sonerkuyar
146,10716125,"Janidu Lankage","2023-09-11 10:13:14",0.80710,5,janidulankage
147,10527674,Acheheart,"2023-09-14 19:52:47",0.80710,1,acheheart
148,10930106,HereWeGo666,"2023-09-23 11:32:08",0.80710,18,herewego666
149,9144312,"tom c tea","2023-09-28 05:07:35",0.80710,1,tomctea
150,10460945,VonAbhorrent,"2023-10-04 14:31:35",0.80710,51,"jpedrou,zekerz"
151,9561688,"Alberto Sanchez","2023-10-04 14:36:26",0.80710,1,albersanprie
152,11025370,"Euiyeon Kim","2023-10-06 20:58:28",0.80710,2,euiyeonkim
153,10976933,Bella19951222,"2023-10-11 02:14:07",0.80710,1,bella19951222
154,11121680,"Harsh Soni","2023-10-25 11:09:56",0.80710,6,harshsoni2001
155,10888407,xu3,"2023-10-31 13:28:01",0.80710,9,"layonsan,xueerc"
156,11149866,kaz29874651,"2023-10-31 06:50:28",0.80710,6,kaz29874651
157,8736728,"Byting Bots","2023-09-21 08:52:33",0.80687,9,weashwin
158,10931552,"Kirill Divschepolsky","2023-10-05 05:36:25",0.80687,11,kirilldivschepolsky
159,9443972,"Şura Nur Ertürkmen","2023-10-19 17:28:49",0.80687,3,uranurertrkmen
160,11096876,"roxane jouseau","2023-10-20 14:31:46",0.80687,1,roxanejouseau
161,11040337,"Sinan Çavuşoğlu","2023-10-20 21:27:44",0.80687,30,sinancavusoglu
162,10387318,sasayaka,"2023-10-31 13:49:07",0.80687,8,sasayaka
163,11059715,"Nicolas Poliak","2023-10-30 13:55:49",0.80687,8,nicolaspoliak
164,10857155,"Hendrik Nebel","2023-09-05 08:41:13",0.80664,31,hendriknebel
165,10854437,fanjunjian,"2023-09-05 06:37:55",0.80664,7,fanjunjian
166,10852157,Saimon,"2023-09-08 21:22:50",0.80664,13,saimonk13
167,10866225,crabtsais,"2023-09-12 01:52:20",0.80664,5,crabtsais
168,10871022,Tinalex_Alex,"2023-09-18 08:48:34",0.80664,31,tinalexalex
169,10893379,Muki-99,"2023-09-13 23:20:30",0.80664,15,muki99
170,10975447,"Eduardo Brilliandy","2023-10-04 11:03:57",0.80664,21,eduardobrilliandy
171,10834705,MusicLEEE,"2023-10-06 08:44:26",0.80664,2,musicleee
172,10989217,"Peerawut Phuaphan","2023-10-09 15:53:39",0.80664,2,peerawutphuaphan
173,11047566,"Beyza Nur Deniz","2023-10-21 08:59:40",0.80664,3,beyzanurdeniz
174,11025810,"Ivan Ramos Ctes","2023-10-27 22:54:33",0.80664,11,ivanramosctes
175,10283149,ShchAlex,"2023-10-27 23:56:00",0.80664,16,shchalex
176,10790986,Maheshpal83,"2023-09-24 07:46:14",0.80640,4,maheshpal83
177,10867133,phiaxe,"2023-09-14 18:10:09",0.80640,9,phiaxe
178,10877807,"Erin Fetsch","2023-09-12 21:42:29",0.80640,18,erinfetsch
179,9723367,"Michael Minh Pham","2023-09-29 09:45:12",0.80640,5,michaelminhpham
180,11060548,"Zeynep Aydın","2023-10-18 12:37:47",0.80640,7,zeynepaydin
181,11053529,"Mesut Demirel","2023-10-21 11:00:17",0.80640,14,mesutdemirel
182,10768481,MR13,"2023-10-23 07:58:49",0.80640,50,maciejrakowski
183,11000173,"M P AJITH BHARADWAJ","2023-10-28 15:01:45",0.80640,2,ajithbharadwaj
184,9090859,"Andrei Sologon","2023-09-03 01:46:17",0.80617,10,andreisologon
185,10854787,"Vasilis Timoudas","2023-10-03 16:13:37",0.80617,33,vasilistimoudas
186,10915545,"Ibrahim Younis #2","2023-09-17 18:43:20",0.80617,3,ibrhr33
187,10960201,haolangli,"2023-09-25 00:24:56",0.80617,16,haolangli
188,10948216,monkeypod,"2023-09-26 11:34:36",0.80617,2,monkeypod
189,10953878,guillaumecv,"2023-09-26 18:04:54",0.80617,6,guillaumecv
190,11018843,MrArray22,"2023-10-06 22:37:42",0.80617,7,mrarray22
191,11045184,"Sabri Burkay Irmak","2023-10-21 20:52:16",0.80617,11,sabriburkayirmak
192,11074494,Soyaa,"2023-10-20 00:13:17",0.80617,14,soyaapark
193,11083765,fuppymode,"2023-10-21 18:36:42",0.80617,12,fuppymode
194,8514032,Laszlo,"2023-10-31 17:10:09",0.80617,1,laszlore
195,10834506,"Xu Jiayuan","2023-09-06 08:33:52",0.80593,9,yizhicaicaiqiububu
196,10917390,"Ilia Bara","2023-09-19 18:23:23",0.80593,14,iliabara33
197,10726990,Max.,"2023-09-17 21:37:08",0.80593,5,mbehr1
198,10930473,onecat,"2023-09-20 15:47:40",0.80593,4,onecatforone
199,10893092,nettofrisk,"2023-09-22 09:18:55",0.80593,28,nettofrisk
200,10987548,dj2020,"2023-10-19 17:40:32",0.80593,12,dj2020
201,11004501,"Vojtěch Janů","2023-10-07 08:41:34",0.80593,17,vojtechj
202,10876373,Wyborowaaa,"2023-10-13 20:27:20",0.80593,81,wyborowaaa
203,11065384,"Genli Ai","2023-10-17 21:32:16",0.80593,8,yigitkoksal
204,11082161,"Grzegorz Łojek","2023-10-18 05:58:09",0.80593,3,grzegorzojek
205,10984304,ytsaig,"2023-10-18 15:14:29",0.80593,7,ytsaig
206,11022669,"C4 Patino","2023-10-23 02:38:15",0.80593,14,c4patino
207,11154503,"Dmitriy Ushakov","2023-10-31 13:36:32",0.80593,11,dmitriyushakov
208,10861321,"Giuseppe Cannizzaro","2023-09-05 15:03:27",0.80570,11,canniz
209,10751832,"Tomasz Pilawa","2023-09-22 11:31:26",0.80570,12,tomaszpilawa
210,10963948,"Pradeep Natarajan","2023-10-02 13:38:23",0.80570,11,pradeepnatarajan
211,10742429,borayy,"2023-10-15 19:16:22",0.80570,1,borayy
212,11060264,aysysl,"2023-10-19 15:21:49",0.80570,3,aysysl
213,11126266,detker,"2023-10-25 18:46:58",0.80570,7,wojtuszajonc
214,10900349,nodayuki,"2023-09-22 06:22:56",0.80547,30,nodayuki
215,10766334,"KATHIR CHIDHAMBARA PANDY","2023-09-21 15:53:14",0.80547,10,kathircs
216,10930175,"Marc Paulo","2023-10-22 09:10:47",0.80547,5,marcpaulo
217,10936226,"Raviraj Gaikar","2023-09-30 07:13:52",0.80547,1,ravirajgaikar
218,9377150,"Felipe de Pauli","2023-10-11 15:50:51",0.80547,10,felipedepauli
219,10998507,"Murugi Njue","2023-10-11 16:14:06",0.80547,1,muruginjue
220,11053286,"Murat Dura","2023-10-15 10:02:19",0.80547,15,muratdura
221,10881884,XephonineDeb,"2023-09-08 16:26:20",0.80523,12,xephoninedeb
222,10888726,notDroid,"2023-09-09 16:04:01",0.80523,1,notdroid
223,10893250,"Ankit ladhania","2023-09-10 13:51:15",0.80523,5,ankitladhania
224,10917824,ubugnu,"2023-09-17 21:48:48",0.80523,6,ubugnu
225,10903433,Joarnixon,"2023-09-20 14:37:52",0.80523,22,joarnixon
226,8210832,Catadanna,"2023-09-26 05:05:53",0.80523,1,catadanna
227,10823559,Otto212,"2023-09-28 14:18:40",0.80523,16,otto212
228,10947504,mattu34,"2023-09-29 08:00:27",0.80523,12,mattu34
229,10863961,BASIM,"2023-09-30 18:29:08",0.80523,16,basimeld
230,11031381,"Chris Oakeson","2023-10-08 23:15:20",0.80523,4,coakeson
231,11040347,"Ashhlou ._.","2023-10-20 07:51:32",0.80523,4,ashhlou
232,9250615,"yuks (Yuki Nakata)","2023-10-31 01:56:41",0.80523,4,yuks0810
233,11065569,"Yavuz Oğuz KAYMAKCI","2023-10-21 19:25:19",0.80523,7,yavuzouzkaymakci
234,11091198,"Ömer Kaan Vural","2023-10-26 12:03:47",0.80523,31,kaanvural
235,11071056,rpariasca,"2023-10-25 01:00:28",0.80523,2,rpariasca
236,11132139,"Alun Griffith","2023-10-31 20:54:14",0.80523,24,alungriffith
237,10878738,"Tarik Eshaq","2023-09-21 01:16:37",0.80500,8,tarikeshaq
238,10856559,"David Zmick","2023-09-26 05:36:11",0.80500,40,davidzmick
239,10948814,"Pampana Yoganandha Gopikrishna","2023-09-22 17:51:04",0.80500,1,gopikrishnayogan
240,10940280,catchablepaper,"2023-09-26 02:07:59",0.80500,5,catchablepaper
241,10962354,"Will Feeney","2023-10-03 10:20:36",0.80500,21,willfeeney
242,10657763,"John Smith 3rd","2023-10-11 03:13:02",0.80500,4,johnsmith3rd
243,10951507,Wun0,"2023-10-13 04:17:04",0.80500,16,wun01128
244,9030019,"Muhammet Ali Şentürk","2023-10-21 19:37:25",0.80500,3,muhammetalientrk
245,9761339,"Umong Sain","2023-10-22 15:28:12",0.80500,2,umongsain
246,11119996,"Andrey Gatsuk","2023-10-24 01:44:28",0.80500,7,gatsuk
247,11084798,sirier,"2023-10-25 01:52:00",0.80500,38,sirier
248,11058010,freddiec0,"2023-10-26 13:03:24",0.80500,14,freddiec0
249,10851720,"comments m","2023-09-07 16:53:13",0.80476,14,commentsm
250,10845356,Nogagross1,"2023-09-13 08:35:56",0.80476,10,nogagross1
251,10852099,reach,"2023-09-10 21:00:27",0.80476,3,willgbryan
252,10744168,"Anna Glagoleva","2023-09-13 17:01:46",0.80476,7,yetiag
253,10783070,"Latte is horse 이라떼","2023-09-23 05:00:40",0.80476,14,sh2orc
254,10873125,"Suraj Yerramilli","2023-10-17 16:14:29",0.80476,7,syerramilli
255,11081849,"detker d","2023-10-25 18:34:33",0.80476,16,detker
256,11063585,"Suleyman Yildiz","2023-10-17 15:23:23",0.80476,6,suleymanyildiz1
257,10982105,"Jonas c","2023-10-22 18:03:56",0.80476,11,jonascristens
258,11097059,"Vojtěch Slavík","2023-10-25 10:47:43",0.80476,6,vojtchslavk
259,11127459,"Jaken Ty","2023-10-25 12:58:09",0.80476,1,jakenty1
260,11130690,"Carlos Reig Matut","2023-10-25 18:08:50",0.80476,6,carlosreigmatut
261,11125721,"Rushikesh katkar","2023-10-29 18:34:19",0.80476,5,rushikeshkatkar
262,10987098,SILAMINE,"2023-10-31 19:19:10",0.80476,10,silamine
263,8914918,smexiao,"2023-09-05 16:34:22",0.80453,2,smexiao
264,10791011,"[Deleted] f128b920-080e-4546-899b-4f9267d94538","2023-09-06 18:45:08",0.80453,21,del=e559d09a40a44744
265,10154451,Krystian_Lata,"2023-09-11 10:09:42",0.80453,39,krystianlata
266,10599899,gantasaurus,"2023-09-17 01:22:10",0.80453,6,"gantasaurus,kagglehiyoko"
267,10853346,Ilya.shi,"2023-09-25 06:32:38",0.80453,3,ilyashi
268,10916291,RAYLAM123,"2023-09-26 12:09:45",0.80453,1,raylam123
269,10684395,"Sharon Kwikiriza","2023-10-07 11:00:58",0.80453,2,sharonkwikiriza
270,10945254,"John Doe #7","2023-10-10 04:40:09",0.80453,1,godie61
271,10980576,"Noah Wright","2023-10-11 06:43:54",0.80453,13,noahwright99
272,11040398,"Sebnem Dogru","2023-10-13 06:40:34",0.80453,11,sebnemdogru
273,11067629,"M Javadpur","2023-10-14 09:05:15",0.80453,1,mjavadpur
274,11060822,"Efekan Kavalcı","2023-10-14 19:41:39",0.80453,5,efekankavalci
275,11055195,"İrem Karaca","2023-10-21 17:28:00",0.80453,3,iremkrc
276,11065864,"Meme Masters 🤠","2023-10-21 18:33:21",0.80453,10,"melihdarcan,yusufkoca"
277,11086972,"Rohit Prakash Singh","2023-10-23 18:57:35",0.80453,14,rpsingh21
278,11052192,"Fernidore Dallocort","2023-10-25 11:07:32",0.80453,1,fernidoredallocort
279,9185084,"Srihari P","2023-10-27 08:46:35",0.80453,24,ppb00x
280,11014656,"Taichi Uemura","2023-10-27 08:48:09",0.80453,10,taichiuemura
281,11140111,"Arpit P. Patel","2023-10-28 06:08:34",0.80453,9,arpitppatel
282,10862174,"Rentarou Miyata","2023-09-03 13:41:22",0.80430,2,rentaroumiyata
283,9925196,"Halim Sajidi","2023-09-13 01:55:31",0.80430,25,halimsajidi
284,10895657,Seven00007,"2023-09-13 06:27:25",0.80430,2,seven00007
285,10594318,"Péter Sipos","2023-09-16 21:00:37",0.80430,10,ptersipos
286,10725531,dumanlwa,"2023-10-18 14:49:00",0.80430,6,dumanlwa
287,10884183,harobacks,"2023-09-19 02:47:45",0.80430,1,harobacks
288,10667461,dreamer,"2023-10-11 08:21:06",0.80430,6,xiaochuanyang
289,10922279,jcl202309,"2023-09-24 16:19:44",0.80430,2,jcl202309
290,10957589,"Monke Flip","2023-10-06 09:00:10",0.80430,91,monkeflip
291,11049278,"Muti Kara","2023-10-22 15:23:52",0.80430,4,mutikara
292,11075921,"Mar Heaven","2023-10-27 01:49:22",0.80430,14,marheaven
293,10321338,tsubasakunman,"2023-09-09 11:36:08",0.80406,2,tsubasa028
294,9780195,"Space Iceberg","2023-09-10 11:47:36",0.80406,1,"amelghourabi,atinux,quentinpavy,renvezw"
295,10313163,"Kiran Trading Co","2023-09-17 07:27:45",0.80406,1,prateekbaliya
296,10892140,노력반,"2023-09-19 06:11:03",0.80406,58,"choseonbin,gangyongjin,hyunjin123"
297,10753234,Codefucious,"2023-09-18 18:14:14",0.80406,2,dashingrowland
298,10903993,"Tikhon Radkevich","2023-09-30 15:48:30",0.80406,7,tikhonradk
299,11117056,"Benjamin Binder","2023-10-24 12:09:38",0.80406,3,benjaminbinder
300,10846462,"Aarish Naeem","2023-09-03 11:55:33",0.80383,13,aaarish
301,10861251,WillemLannoye,"2023-09-05 12:06:04",0.80383,12,willanoy
302,10909420,"Bhunakit Chantaraseno","2023-09-21 12:54:41",0.80383,17,bhunakitchantaraseno
303,10902134,"Leo Atipunumphai","2023-09-15 08:36:14",0.80383,10,leoatipunumphai
304,10734878,Demron,"2023-09-17 11:21:40",0.80383,12,demron
305,10923983,"rin forever","2023-09-20 03:15:21",0.80383,39,rinforever
306,10918713,"tada keijiro","2023-09-20 02:18:12",0.80383,4,tadakeijiro
307,10959511,"Weverton Luiz S Pinto","2023-09-26 05:03:42",0.80383,3,wevertonluizspinto
308,9114277,wwllcc,"2023-10-08 11:12:59",0.80383,13,mrwlchiu
309,11065927,"Brian Yip","2023-10-15 04:05:42",0.80383,13,itsbriany
310,11018015,Treyson,"2023-10-26 23:36:38",0.80383,3,"a02256811,cyanyeti,treyson"
311,11153071,fukumimi,"2023-10-31 10:39:05",0.80383,6,fukumimi
312,10733706,"Yao Heyi","2023-09-03 05:55:26",0.80360,2,yaoheyi
313,10896628,"Lonely Guy","2023-10-21 12:51:33",0.80360,13,jackycomp4433
314,10963753,Kaggle_beginner_0748,"2023-09-28 02:47:53",0.80360,7,kagglebeginner0748
315,10070533,"Sergei Lozitskii","2023-09-28 18:17:53",0.80360,2,sergeilozitskii
316,10971614,"Beq Jal","2023-10-07 09:49:27",0.80360,2,beqjal
317,11047537,"Bahadir AKDEMİR","2023-10-15 06:27:27",0.80360,22,bahadirakdemr
318,10930821,"FATİH YALÇIN","2023-10-20 13:28:04",0.80360,5,fathyalin
319,11077719,"Simge Senyuz","2023-10-19 08:29:28",0.80360,21,ssenyuz
320,11040351,"Buse Nur Pekmezci","2023-10-21 08:22:30",0.80360,14,bnurpekmezci
321,8903303,"Toygar Aksoy","2023-10-23 23:42:08",0.80360,2,toygar
322,11140153,ShaShengYang,"2023-10-31 15:19:24",0.80360,5,shashengyang
323,10876366,"Philipp #3","2023-09-09 13:42:19",0.80336,3,markcrass1
324,10908459,jannchie,"2023-09-18 11:16:36",0.80336,15,jannchie
